"case_id","abbrev","signal_density","group_label"
42,"EW",27947000,"control"
42,"III",63171928.5714,"control"
42,"IV",76578666.6667,"control"
42,"LT",18165500,"control"
42,"MRN",22105777.0456,"control"
42,"ND",80885181.8182,"control"
42,"PRC",29486000,"control"
42,"APN",30224749.3473,"control"
42,"MPT",37580674.4186,"control"
42,"NOT",17424035.7143,"control"
42,"NPC",41936195.122,"control"
42,"OP",19963230.7692,"control"
42,"PPT",28435000,"control"
42,"RN",22511691.5888,"control"
42,"RR",12991161.4907,"control"
42,"SCdg",19198054.9199,"control"
42,"SCdw",15247825.3968,"control"
42,"SCig",25254541.4938,"control"
42,"SCiw",28001383.7838,"control"
42,"SNr",3506361.50235,"control"
42,"VTA",11256397.9239,"control"
42,"VTN",8865812.5,"control"
42,"IC",10995668.9546,"control"
42,"MEV",12979461.5385,"control"
42,"NB",2131346.15385,"control"
42,"PBG",908843.75,"control"
42,"SAG",6728939.39394,"control"
42,"SCop",19566869.5652,"control"
42,"SCsg",7459666.02687,"control"
42,"PPN",21070776.0417,"control"
42,"CLI",7861833.33333,"control"
42,"DR",22934680,"control"
42,"IF",12680500,"control"
42,"IPN",5022016.66667,"control"
42,"SNc",6211469.87952,"control"
42,"BAC",7790250,"control"
42,"BST",12650284.1444,"control"
42,"GPe",6224153.84615,"control"
42,"GPi",8629322.14765,"control"
42,"MSC",10393775.6714,"control"
42,"TRS",5680964.28571,"control"
42,"MA",8712955.55556,"control"
42,"SI",9522838.73795,"control"
42,"LS",18410846.2913,"control"
42,"SF",9353451.32743,"control"
42,"CP",18264131.5711,"control"
42,"ACB",21982259.5769,"control"
42,"FS",19310973.6842,"control"
42,"OT",6371102.68149,"control"
42,"AAA",10641823.5294,"control"
42,"BA",9144000,"control"
